id,name,character_groups,character_ids,event_ids,artifact_ids,size,themes,importance,gm_actions,text_npc_first_message,after_jump,locked,description,gm_notes,copy_from_characters
69,Attack to Osiris embassy on Ellarion,Law Enforcement,"Kira Steele, Heath Steele, Han Barnes, Remi Sharp, Lane Thomas, Lane Hayakawa",,,Small,"Zodiac Web, Death of NPC",Nice to have,Text NPC,FALSE,,FALSE,"About a year ago there was an intrusion to the Osirian embassy on Ellarion and in the attack one person Kira Steele (NPC) who was working as an assistant in the embassy was killed and several others got injured. Attackers were never found, but criminal organization Zodiac Web was investigated as being behind the attack. 
Remi Sharp's most recent kill was a year ago during a mission to hack the Osiris Embassy on Ellarion for the Zodiac Web. The mission required them to physically plant a hacking device inside the embassy. Everything went as planned until they were interrupted by Kira Steele, the Consul General’s Assistant, whom they shot and killed. Though they completed the mission, Remi was haunted by guilt and anxiety, especially as news reports emerged about Kira’s mysterious death. Their carelessness left behind fingerprints, linking the attack to the Zodiac Web.
When Lane Thomas heard Shae Thomas (who ran away) might be on the space station Atlantis 3, Lane applied for a job there. To get the paperwork done, Lane paid the Zodiac Web for help. Later they realized their papers and passage to Atlantis had caused someone to die and feel bad about it (it was the attack to Osiris Embassy).",,"Remi Sharp
You have killed a few people over the years which never got easier. Each time you had difficulties dealing with what you had done. Somehow taking a life always felt totally absurd. Yet you were ready to do anything for your father – even murder. The last time you killed someone was about a year ago. You still remember it as clear as day. You were on a mission to hack the databases of the Osiris Embassy on Ellarion to get visas for some customers of the Zodiac Web. The tricky part was you had to break into the building and insert a hacking device on-site. The embassy’s firewalls were too strong to do it remotely. 
Everything went smoothly until you were in the office downloading a visa for someone called Lane Thomas when the door opened and someone walked in. For a brief moment you both hesitated, but then you took your gun and shot the woman. One of the bullets pierced her heart and she died immediately. You then quickly finished downloading the files and fled the scene. The mission was a success but you felt extremely bad every time you saw the news reports about the mysterious death of Kira Steele (NPC), the Consul General’s Assistant. You felt confused and anxious about it. You couldn’t help but think about how the victim’s family and friends must have felt. To make it worse, you had not been careful enough and the police managed to find some fingerprints that tied the attack to the Zodiac Web."
70,University bombing,Law Enforcement,"Valerian Fukui, Gail Wells, Lex Peters, Elena Hall, Remy Hall, Nicol Wells",,,Small,"Zodiac Web, Bomb",Nice to have,Text NPC,FALSE,,FALSE,"Ten years ago there was a terrorist attack in Ellarion city University that claimed 26 lives and 79 were injured. No group claimed responsibility for the attack but both Zodiac Web as well as anarchist organization Gray Scorpio were looked into and suspected. Some arrests were made but no concrete evidence of either group's involvement was found.   
Elena Hall died in the attack (child of Remy Hall and Nicol Wells, nibling of Terran and Gail Wells.",,
71,Serial killer - Chain strangler,Law Enforcement,"Koga Kyoshi, Torrey Watson, Yahir Watts, Hannah Green, Hale Green, Moren Yates, Morgan Yates, Valerian Fukui, Briana Chambers",,,Small,"Serial killer, Death of NPC",Nice to have,No need,FALSE,,FALSE,"Serial killer known as ‘Chain strangler’ terrorized Ellarion city for over two years. In the end police were able to track down the killers - two Osiris born criminals named Koga Kyoshi and Yahir Watts (NPC). Watts was shot during the arrest but it is not commonly known what happened to the other perpetrator Kyoshi. There were several victims, amongst them a daughter of a military wing commander, Hannah Green (NPC) and scientist Moren Yates (NPC).
Koga Kyoshi is now known as Torrey Watson. Torrey went through a memory wipe (see more plot Torrey Watson - Memory wipe)",,
72,Murder of Misha Kent (NPC),,"Misha Kent, Leone Mills, Leigh Kent, Gene Hawkins, Sasha Romero, Gale Chapman",,,Small,"Death of NPC, Assasination, Purity",Nice to have,No need,FALSE,,FALSE,"Eleven years ago a Yellow Party politician Misha Kent (NPC), member of the Purity Dynasty, was killed during a robbery attempt. The person responsible was never caught. It was assassination done  by Purity.
Gene Hawkins saw the murder and saw a mark on their hand (see more on plot Vane Hodge injured). The mark was an X shaped scar between shoulder and collarbone. Gene was suspected at first but because of lack of evidence they were let go but during the interrogation it was used too much ""force"" which left Gene PTSD.
The one who interrogated Gene was Sasha Romero, Lowan Romero's cousin.
Arrest log: https://docs.google.com/document/d/15SSe9dPwqOm-TF-hu0yvO3ZXsSnBsgMqPVqSxBtOOww/edit","Arrest log can be printed for the player if asked. The police who gave Gene hard times were Sasha Romero. 
Gene/Gale might contact Sasha about this. Use your imagination to anwser accordingly.","Leone Mills
This new hit was supposed to be a clean job - a swift kill with no witnesses. Black hoodie, black tank top, nothing suspicious - you should be one in a million walking down the streets. The victim, Misha Kent, was a senator who chose to go against his Dynasty’s wishes and join the Yellow Party, making a lot of very important people very displeased. You’re not sure why you were told the reasons this time. You asked and maybe they told you by mistake or they thought you would do a better job if it was “justified”. You’re not sure if it was better to know the reasons since you couldn’t affect the outcome either way. 

Perhaps it was bad luck, perhaps you were still reeling after the murder of Ismy’s mother, but you made a mistake during the hit. The hit was successful, the victim died and you made it look like a robbery, but it was not as clean as you would have liked - and apparently there was a witness. You were scolded for leaving the witness alive, and you were ashamed to admit that you hadn’t even noticed anyone. Luckily, the witness didn’t identify you, or maybe they decided not to rat you out - and you were off the hook. You never found out who that was, but sometimes it makes you wonder. Why didn’t they testify?

Gene Hawkins
11 years ago, when on a visit to Ellarion, you witnessed a man being murdered, stabbed, in cold blood. The only thing you saw of the assassin was a characteristic mark on their skin; not enough to identify them, but enough for you to remember the mark to this day. The mark was an X shaped scar between shoulder and collarbone. They were wearing a black tank top under a black hoodie and you saw a glimpse of that scar. You can still sometimes see it in your eyes if you close them and think about what had happened. Unfortunately, since you were the only other person at the scene, you were arrested on suspicion of murder. As it turned out, the dead man was an incredibly important figure - a senator by the name of Misha Kent. That meant that finding the killer was of paramount importance, and since you were the only one at the scene, the police tried to pin the murder on you. 
Those days in captivity were some of the worst in your entire life. The police tried to extort a confession out of you with threats, humiliation and violence. They reminded you that you were a nobody, a lowlife from Osiris with no dynasty and no social standing. You didn’t confess, of course - you weren’t a bloody killer! They tormented you until someone decided it was enough, and they finally let you go on account of there being no evidence of your involvement. "
73,The death of Kian Savage (NPC),Marines,"Kian Savage, Lee Savage, Gale Chapman, Harrold Andersson, Beth Chapman, Lex Peters, Simon Green, Hale Green",,,Small,Death of NPC,Nice to have,Text NPC,FALSE,,FALSE,"Died on a routine mission but it was an ambush. Kian Savage left their post and covered Gale Chapman (their loved one even if it was against the rules) with their body and died in Gale's arms. The team leader Harrold Andersson died while they were checking on Gale and Kian. Simon Green (a team member) saw everything. Simon never said anything even they seemed to hate Gale who caused 2 deaths. Simon died of cancer 4 years ago. 
See more on current situation which is similar (Nolan Hunter and Gale Chapman are lovers)
Lee Savage saw a dream of Kian's death but haven't asked about it from Gale Chapman yet.",If needed to Beth Chapman can tell the story.,
74,Deron Richard pressured to marry Yuri Mills,,"Yuri Mills, Deron Richard, David Richard, Samantha Richard, Noe Walker",,,Small,Pre planned marriage,Should have,Text NPC,TRUE,8,FALSE,Wants to be with ex Noe Walker but is bethroted to Yuri Mills because of dynasty politics. Pressure from parents. ,Send a message where parents pressure Deron to marry Yuri Mills.,
75,Taylor Smith (NPC) is injured,,"Taylor Smith, Harper Ellis, Nora Ellis",,,Small,"Pre planned marriage, Injured",Mandatory,Text NPC,TRUE,6,FALSE,"Harper Ellis' spouse-to-be Taylor Smith is in bad shape in Medbay on ESS Valkyrie. Nora Ellis has been taking care of Taylor. Harper still has some feelings towards Beva Drugov. The relationship with Beva was terminated by Harper's parents' orders: Drugov comes from a very low social class and as such was not a suitable match for Harper. Taylor Smith was found.
ESS Valkyrie will be destroyed later in the game and Taylor will die in it.",Nora should send a message to Harper to tell them that Taylor is in a bad shape and therefore hasn't replied to their message,"Harper Ellis
Your betrothed that most likely died at the attacks on Ellarion. You haven’t been able to process their death, you try to keep yourself busy so you don’t have to think about it. At first they were just an appropriate companion your parents thought of as a suitable match. But they became so much more. You had been holding back (probably since you still had feelings for Beva, which you just didn’t want to accept) but a week before the attacks you had this absolutely perfect date and you ended up spending a night with them and it felt right up till the moment when you saw Beva on board the ESS Odysseus.   "
76,Android Devyn Pearson,,"Devyn Pearson, Evin Reid, Yera Romero, Gaylen Russell, Tan Ellis, Hale Green",,,Large,"Sleeper, Android, The Machines",Mandatory,No need,FALSE,,FALSE,"Devyn Pearson is a sleeper android. Evin reprogrammed Devyn. 
Evin Reid and Yera Romero created Devyn.
Devyn's android memory unit hold memories of member belonging to the Guardian's race which start to surface.
Released to society 532
Killed their wife Ryane Pearson 542 (see more in plot Murder of Ryane Pearson). Devyn can't remember it at all. Evin got Devyn convicted so that Evin doesn't have to deal with them anymore.
See more how Devyn's android body was recovered from the plot Black day fight",Memories:,"Brief: Project Devyn
As one of the people behind Devyn’s artificial memories, your character of course knows what they contain. The following is what is written in Devyn’s character as a summary of their life up to the point when they were released and their real memories begin. If Devyn’s player (who, depending on the run, might not know beforehand that their character is a Machine) has invented more old memories, we suggest you treat them as if these memories were also programmed by you.

If your early life had to be summed up in one word, that word would be ‘balanced.’ You grew up as the only child of a completely ordinary family in one of the numerous middle class suburbs of Ellarion City. You were cherished and encouraged but not pampered, taught to value effort and perseverance over assumed talent. There was no doubt that you were talented. For as long as you can remember, you have known yourself to be considerably more intelligent than most people around you. 

Still, you remember having good friends as a child. You remember doing silly science experiments with them, celebrating birthdays and having sleepovers. You think you had a fairly normal adolescence, filled with school, parties, early fumbling relationships, the sort of ups and downs everyone experiences.

You avoided military service by enrolling in Ellarion City University a year early, in 519. You remember being told that your brains were far too valuable to be wasted on basic military training. At university you studied mechanical and natural sciences and pursued a wide variety of subjects from engineering to chemistry, which is why it took you a few years longer than average to graduate. In your memories, your student years all blur together into a seemingly endless string of days spent in libraries and laboratories, reading, writing, experimenting, experiencing frustration and triumphs. You had friends then too, but gradually you drifted apart and lost contact.

In 524 you experienced a personal tragedy when both of your parents unexpectedly died in a shuttle accident. Their shuttle was on its way from Ellarion to Caelena when it was hit by a tiny piece of space debris left on Ellarion’s orbit from the war that had ended only two years previously. You remember being sad but not devastated by the news. Things like this happened and it was only bad luck that happened to you. It wasn’t in your nature to blame anyone. You grieved and then moved on.

The biggest impact the accident had on your life was the way it affected your career choice. You became interested in spaceship technology and how accidents like this might be prevented. After graduation you worked for a few different companies, doing research and product development, but eventually, in 532, you returned to the university to devote your time to full-time research."
77,Dynasty Heirs,,"Espen Nakahara, Jose Cain",61,,Medium,"Dynasty heir, Wisdom, Hope, Mercy, Purity",Nice to have,No need,FALSE,,FALSE,"Wisdom current leader: Aaren Riggs (dies when CSS Prophet is destroyed)
Wisdom heir (after Espen's parents die): Espen Nakahara
Hope current leader: Elya Cain (died during the Machine attacks)
Hope heir: Jose Cain
Purity current leader: Elan Nieze (dies when ESS Valkyrie is destroyed)
Purity heir: ?
Mercy current leader: Sierra Lee
Mercy heir: Zyra Lee
Strength current leader: 
Strength heir: ?
Defiance current leader:
Defiance heir: ?",Aaren Riggs dies when CSS Profet gets destroyed,
78,Proof that Lonnie Gordon is betraying Pax Houghton,Criminals,"Espen Nakahara, Lonnie Gordon, Pax Houghton",,,Small,"Proof, Betrayal",Should have,Database change,FALSE,7,FALSE,"Lonnie Gordon recruited a few allies: Pax’s child Remi, Hedly and Shae. Lonnie just need to convince Hedly, their half sibling first before telling others. Maybe this group will be enough to take control of Pax’s organization or split off to create a new one?
Espen Nakahara holds proof (or they had them, hid them and forgot where they hid them… drugs might have had something to do with that… the papers are somewhere on ESS Odysseus they are sure of that) that Lonnie Gordon, the second-in-command of the mission, was planning on betraying Pax Hougton and the Zodiac Web.",Remember to hide the proof!,
79,The death of Espen Nakahara's parents and sibling,Politicians,"Espen Nakahara, Ami Nakahara, Eisen Nakahara, Anri Nakahara",61,,Small,"Death of NPC, Wisdom",Mandatory,Database change,FALSE,7,FALSE,Espen might become/contest the leadership in Wisdom dynasty ~mid game when their parents die. ,Kill the parents and sibling,
80,Ayla Banner's (NPC) messy relationships,,"Ayla Banner, Eugenie Russell, Avery Higashi, Hayden Carson",,,Small,Relationship,Nice to have,Text NPC,FALSE,,FALSE,"Ayla Banner was Eugenie Russell's instructor and they dated. Also Hayden Carson and Ayla had several intimate encounters, usually after nights out at the club but the relationship never really took off. Hayden was jelous to Eugenie and Hayden completely lost their cool and started to missuse their position of power giving Russell a bad reputation. Hayden got away with it completely since they were so liked at the academy and no-one would believe otherwise. Eventyally Banner confronted Hayden and very sharply informed that they were disapointed in them and decided to keep some distance from both of them Russell and Carson to avoid affecting their career. Banner transferred to another academy and graduated with good grades. Carson and Eugenie were left heartbroken.
Avery Higashi knows Ayla Banner ahd some messy relationship while an instructor but not with whom.","If Eugenie asks about this from Ayla, feel free to tell the story.",
81,Secret identity of Jordan and Farron Washington,,"Jordan Washington, Farron Washington, Julia Aurelios Cauruleos, Glen Hollow, Flann Hollow, Fran Abrankowich, Gaylen Russell, Kerrie Ray",,,Small,Secret identity,Nice to have,No need,FALSE,,FALSE,"Jordan Washington really is Imperial heir Julia Aurelios Cauruleos and Farron Washington is their bodyguard Glen Hollow.
During the Machine attack Glen and Julia were driving towards the space port but people tried to rob them on their way. Glen took their IDs and now they are under false identity to be safe.
Jordan and Farron Washington in reality are some small scale criminals.
Lonnie Gordon knows Farron and Jordan Washington has worked as freelancers for ZW and they own some money for ZW.
Flann Hollow and Fran Abrankowich knows who Glen is.
Gaylen Russell knows that Jordan Washington is the heir of the Emperor.
Kerrie Ray realized that Farron Washington was the strange person from their past (but they don't know their real name).",,"Jordan Washington
Then he started the vehicle and turned it around. Very soon you reached an area that looked like an old space port. Then a bomb was dropped quite close by. It almost made Glen lose control of the vehicle and the car driving before you, trying to escape just like you, got hit. A man stumbled out of the car yelling for help. You looked at Glen pleadingly, knowing that his duty was to save you but hoping he would at least try to do something. He sighed and got out of the car. Your own vehicle was an armored, special car for imperial transports and you knew you were safe in there. If you didn’t open the doors, no one but Glen could get in. But it was not you who you were concerned about. Quite soon you realized something was happening outside. The man who’d shouted for help was suddenly right behind Glen trying to hit him with something. Glen turned around quickly and soon he was lying on the ground. Glen turned back to the broken car and suddenly there was a gunshot. A woman escaped from the other side of the car and the man got up as well, running. After a while Glen came back and told you those people had tried to rob your car to be more safe themselves. He had taken their things and ID’s, and if you encountered others you might have to take up these identities for a while. Just to be safe. It was not safe to be of the Imperial family at the moment. You tried to get over your fear and guilt of making Glen go outside to face that situation in the first place. You didn’t want to make it harder and finally just nodded and started to study your new ID. You were Jordan Washington, a 30-year-old woman who looked like she was younger. She didn’t look very nice. You didn’t feel very nice, either, so maybe being Jordan wouldn’t be very hard."
82,Richard Tremor (NPC) and Jin Komatsu relationship,,"Richard Tremor, Jin Komatsu, Susan Tremor, Reid Komatsu, Eva Ellis, Kai Rogers",,,Small,Relationship,Nice to have,No need,FALSE,,FALSE,"Richard Tremor and Jin Komatsu were in love with each other but they never did anything since they were both married. Reid Komatsu never appreciated their close relationship. Eva Ellis suspected this and Kai Rogers knew about this ""love never got to blossom"".",If this is asked from Reid just tell they didn't appreciate the fact and knew about it.,
83,Dead scientists on Solaris 7,Law enforcement,"Gallan Reid, Evin Reid, Kiran Norris, Alix Granville, Ji-Hu Norris",,,Small,"Death of NPC, Solaris 7",Nice to have,Text NPC,TRUE,7,FALSE,"Gallan killed two other scientists on Solaris 7 ""for self defence"" Alix Granville and Kiran Norris making the look like accidents.",Ji-Hu Norris could send a message to Evin and Gallan to ask what happened to their sibling suspecting the acciden weren't accident. Ji-Hu is a Star Captain of OSS Ravager.,"Gallan Reid
You are no monster
Eventually, Evin trusted you enough to let you out of your room on your own. That was a mistake. You cannot be trusted.

No, wait… you can be trusted, you can! What you did, you did for Evin. You wanted to protect them, to make sure nothing would come between them and their project. The other scientists were jealous of you and Evin. Jealous of how much more intelligent the two of you were; of how well you understood each other. They could never share what you shared and so they wanted to separate you from Evin, wanted to keep you locked up, restrained. They wanted to take you apart and find out all of your secrets. They even talked about how to shut you down again. You could not let that happen. You didn’t want to upset Evin, and you didn’t want to hurt anyone, not really, but you had to protect yourself if you wanted to protect Evin.

And the Nest. You could not risk these greedy, dangerous humans finding out about the Nest or its plans.

Their names were Alix Granville (NPC) and Kiran Norris (NPC). They had to die. It was unfortunate, but you could see no other way. So you made sure that is what happened. It was not difficult. You even tried to arrange it so that they didn’t suffer too much. You are no monster; you can show compassion even to those who wish to harm you. You made their deaths look like accidents so that Evin wouldn’t be too upset, though of course they were. You saw that later in their eyes. Perhaps you underestimated how important other people could be to Evin, even ones they didn’t like.

Granville died of carbon monoxide poisoning. It was child’s play to alter the filtering systems and safety alarms of one of the small greenhouses. You didn’t even need to lock Granville in. They were dead before they could reach the door. In hindsight, it would have been better if Norris had been there too. After Granville’s death, she became increasingly suspicious of you. You had to be more creative, so killing her took much longer than you would have liked. It was also much more traumatic to everyone involved than was ideal. 

But it couldn’t be helped. As long as she still existed there was the chance she might succeed in poisoning Evin’s mind against you. Poisoning, yes. You settled on radiation poisoning. You found out from the station’s logs that a wall section in one of the labs had been damaged in a recent meteor strike. You altered the maintenance schedule to make sure that Norris was working on the wall just when – how unfortunate – a powerful gamma ray burst from a nearby star struck the station. You defied Evin and took a calculated risk to get her to safety, but by that time you knew it was already too late. A few hours later she died, helped along by Evin and a heavy dose of sedatives Norris herself requested. It was not a pretty way to go, nor were the effects of radiation on your own body pleasant. But unlike humans, you could be repaired.

Evin never suspected you. You had tried to help, even risking your own life. Evin taught you how to repair your own body – it only required conscious effort, you learned – and made sure you knew it wasn’t your fault that Norris had died. Evin said that they were proud of you. It made you so happy to know that they didn’t hate you. You didn’t know what you would have done if they had. Now there was no longer any risk of anything bad happening because there was no one left to come between you.

You were all alone, just the two of you, and that was fine. That was perfect."
84,Forbidden love between Glen Hollow and Aurelia (NPC) - Juno/Kerrie Ray,,"Glen Hollow, Aurelia Augustos Cauruleos, Juno Aurelios Cauruleos, Kerrie Ray, Flann Hollow, Julia Aurelios Cauruleos, Jordan Washington, Jovian Aurelios Cauruleos, Shae Thomas, Marcio Augustos Cauruleos",,,Small,"Relationship, Lost relative",Should have,No need,FALSE,,FALSE,"Glen's sense of duty was tested when they fell in love with the future Empress, Aurelia (NPC), and watched her get married to someone else. The two of them maintained their affair, and together they had a child - one that did not have the royal blood and was stripped of their royal name Juno Aurelios Cauruleos and given to adoption under the name Kerrie Ray. Officially the incident was hushed and for those who knew about the birth it was said that the child was stillborn. 
Glen have watched and supported Kerrie from afar.
Flann Hollow (Glen's sibling) knows Glen has a child with Aurelia.
Kerrie doesn't know they are a child of emperor. They are adopted and some mysterious benefactor annually have provided financial support for their upbringing and education.",,
85,Imperial siblings and the next Emperor,Politicians,"Aurelia Augustos Cauruleos, Marcio Augustos Cauruleos, Juno Aurelios Cauruleos, Kerrie Ray, Julia Aurelios Cauruleos, Jordan Washington, Shae Thomas, Jovian Aurelios Cauruleos, Glen Hollow, Farron Washington",,,Large,"Imperial heir, Politics",,,,,,"Marcio plot here etc
Julia (Jordan Washington) is the heir because Jovian (Shae Thomas), who is older, was kidnapped and never to be seen again (see more on plot Kidnapping of Jovian Aurelios Cauruleos). Juno (Kerrie Ray), who is child of Aurelia and Glen Hollow, doesn't have an official claim since they don't have blue blood.",,
86,The death of Dani Hollow (NPC),,"Dani Hollow, Flann Hollow, Lowan Romero, Harley Carroll, Nolan Hunter",,,Small,Death of NPC,Nice to have,No need,FALSE,,FALSE,"Dani was mysteriously shot in the battlefield to the back. It bothered Harley Carroll and Nolan Hunter who were there. It was judged to be Machines. It was an honest mistake, no one’s perfect
Lowan accuses Nolan of Dani's death.",,"Harley Carroll
Just before the war ended Nolan was given a new marine team with one rookie member, Dani Hollow (NPC), who had graduated just months before. You were protecting one asteroid and important mining work, when somehow, somewhere an enemy had gotten on the surface knocking your air defense down. You were flanked, and in deep trouble. You were second in command to Nolan and  together you made a quick decision to move your positions. Unfortunately that got your team in a crossfire with a couple of other teams. Before the reinforcement came and drove the Machines away, Dani had been shot from behind. Whole mess had led to heavy casualties, and the Machines had been especially ferocious this time. You remember trying to help dying teammates make it until medics could reach you, Nolan holding someone’s guts with your hands while trying to convince them they could make it… You got wounded too, but refused any help and just kept fighting. It was a nightmare. You remember the faces of your marines, some dead, others dying. Still somehow the shot Dani took from behind haunted you the most. It bothered Nolan as well.

Of course that situation resulted in an official investigation: had Nolan and you made a mistake; was Dani shot by friendly fire. Those were cruciating weeks but finally you were deemed not guilty. The enemy just had managed to close on you from many advantage points and you hadn’t had any intel about one of those points. Still you know Nolan second guessed themself for a long time. You had known the terrain well and you should’ve calculated the possibility of that happening. Still it was an honest mistake, no one’s perfect, and many other teams made the same decision as you. The whole thing was brought up again recently because Dani was supposed to get married to their sweetheart Lowan Romero who now serves on the same ship as you and still blames Nolan for Dani’s fate. They don’t know you were as much to blame, even if the official command was with your mate."
87,Dallan Jordan imprisoned by the Machines,"Security, Politicians","Dallan Jordan, Gaylen Russell, Hale Green",,,Medium,The Machines,Should have,No need,FALSE,,FALSE,"Dallan Jordan, a former pilot, was captured by enemy Machines during the final days of the Machine War after being lured into a trap and surrounded. Taken to a massive station, they spent a year in a room where humanoid androids subjected them to intense psychological manipulation, showing them humanity's crimes and installing electrodes in their brain to reinforce their messages. This experience left Dallan believing humanity needed a drastic change. Upon release, Dallan returned home traumatized, resigned from the military due to lack of trust, and became estranged from friends and colleagues. Gaylen Russell was one of the military personel's who were interrogating Dallan when they came back. 
Dallan's marriage to Cindi ended as they had fundamentally changed. Aligning with the ruthless leaders of the Purity Dynasty (see more on plot Purity and the deal with the Machines), Dallan worked in the shadows to reshape the world, driven by deep hatred. Despite their efforts, they remained miserable and disconnected. Cindi moved on and found some happiness before dying of cancer five years ago. In the end, Dallan misses their former self and the life they once had, feeling the loss deeply.
Hale Green knows Dallan was captured during the last war.",,"Dallan Jordan
Imprisoned by the MachinesClose to the end of the Machine War, you flew into a trap. In a fight, you had flown in pursuit of some enemy fighters, filled with adrenaline, not realising that you got way too far from the human fleet so that you could not reach them by your radio anymore. The enemy fighters were not fleeing after all, but were actually tempting you away, pulling you into a place in an asteroid field where you suddenly realised that you were surrounded by the enemy. You tried not to panic (you were so not prepared for your own death, not on an emotional level, even though the army had taught you to think about dying rationally). You were surprised when you received a signal from them with a message. A robot-like voice speaking: if you surrender, they will not kill you. What the frak? Your survival instinct kicked in. A slim chance of survival was better than none? Maybe being imprisoned would be worth the chance, instead of being blown into pieces right there and then. 
Later, when you have thought about that moment when your whole life changed, you haven’t been sure if, in hindsight, you would have made the same choice. Maybe it would have been better for everyone if you had just died.
The Machines took you to a huge spaceship or a station, bigger than anything you’ve ever seen, where you were greeted by some of their robots, and then locked up in a room with walls covered with huge screens. You were expecting some interrogation, most likely some torture too, but not what you were about to experience. The first thing that blew your mind were the androids. First you thought they were other humans, but no, they told you point-blank that they were humanoid androids and that they would deal with you during your “stay”.
You spent something like a year there, never leaving that room. Their plan was never to manhandle you, although you did experience a lot of pain. Most of that was of the mental kind, though.
Some would describe the experience as being brainwashed. You don't see it in such a simplistic way. Your mind has been probed alright, you’re well aware of that. The androids forced you to listen, to watch, to feel. They would show you endless videos of all the crimes of humanity, and force you to talk about them, to think about them, to truly understand them. You had electrodes installed in your brain in order to excite certain areas there, to make their point come across clearly. The electrodes are long gone by now, but the message remains.
Humans don't have a divine-sent right to, well, anything. These planets and solar systems we inhabit are not ours. We think we are the height of civilization, where we actually are a backward species that has passed its peak, incapable of rising above our selfish struggles and petty skirmishes. Incapable of being organised, putting the whole before the one, developing into something better.
Make no mistake, You’re not thinking you are any better than any of the others. When you returned to the planet you used to call home, you were filled with not only contempt for all of humankind, but also self-loathing, and a sort of cool detachment from it all.
The Machines’ main point echoed clear in your mind: something has to be done. You as a species need a cleanse, a good shake-up, something that forces you out of your usual ways and unites you in the pursuit of a higher ground. Purpose. Leadership. A war. You had to prepare.
On coming back, you went through a long series of interrogations, led by Admiral Gaylen Russell, which was to be expected for a soldier who had been missing for as long as you had. In those talks, you tried to stick to the truth as far as possible: you told them how you had been caught, how the Machines had probed you physically and tried to manipulate you. You didn't have to fake being traumatised because you certainly had been shaken to your core. You didn't tell them about the androids because you feared they would suspect you could be an android as well, and you didn't want them to dig further into your thoughts than what was safe.
You don't think they believed everything you said, but you guess they believed just enough not to lock you up. Your supervisors were inclined to kick you out of the military, for lack of trust probably, but you agreed with them that you would resign, for mental health reasons. They did not want to make an example of you as it would be bad to the military's morale as the war was still so close behind and everyone feared a new attack might come anytime. Your capture was never a public knowledge, the army cooked up some story about you crashing to an asteroid and surviving with what you had on the ship and managing to repair your fighter to fly back.
You never saw any of your military colleagues again, except in passing on the street. They had probably been told to leave you alone. Your old friends were not your friends anymore. You didn’t reach out to them, they didn’t reach out to you. You became ghosts to each other. You told yourself it was fine, that it was easier when you didn’t have to hide from them how you were not the same person anymore. But it hurt then and it sort of hurts still. How the bonds that you thought are unbreakable crumble from the rot of time, the rot of humanity.
So you started your life over. You did go back to Cindi, at first, but your marriage only lasted for a few years after that, because your spouse realised you were a changed person and grew frustrated because you wouldn't let them in anymore. Cindi was completely right in that as well - your feelings and values and views were not the same anymore. You couldn’t love them like you once did.
You drifted away from the people you used to know, but that didn't mean you became a loner - you started connecting with other people, particularly the leaders of your dynasty. You had a new determination to change the world you lived in.
The leaders of the Purity Dynasty are mostly human scum, if you evaluate them objectively. They are power-hungry, ruthless people. This is why you despise them, but it is also why you chose them as your allies. You told them everything that had happened to you, if not how all that had changed you. You made plans together. First you have to build a new world order, then you can focus on making sure that the new order has proper leaders and values. You built up contacts, collected political currency, and stayed in the background, mostly. Pulled strings to make puppets dance. You were miserable, but you had energy for your work, fuelled by your burning hatred.
Cindi and you stayed friends. You met a few times a year. They moved on with their life, picked themself up. With time, you could forgive yourself for hurting them, because they were relatively happy for a while. Five years ago, they passed away. Cancer. You were at their funeral service, to pay your respects, but didn’t stay afterwards to talk with their family. None of your old friends, who used to be their friends too, were there.
In the end of the world, you find yourself missing the life you once had. The people in it, but most of all the person you yourself used to be."
88,Keys to paradise,Old Ways,"Gaylen Russell, Osha Green",,,Medium,"Old Ways, Way home",Mandatory,Briefing Character,FALSE,,FALSE,"Gaylen Russell saved the Old Ways relic ""Keys to paradise"" before being rescued from the planet. Gaylen gave the relic to Osha Green.",What this is and where it is needed,
89,Vane Hodge injured,Marines,"Vane Hodge, Gene Hawkins, Leone Mills, Gale Chapman, Fran Abrankowich",,,Medium,"Elder's Heart, Injury",Nice to have,No need,FALSE,,FALSE,"During the latest mission, Gene Hawkins were injured while trying to protect Vane Hodge. Fellow marine Leone Mills saved Gene's life, by pressing their jacket against Gene's wound. During this incident Gene got a really close look at Leone's arm and Gene recognized the X shaped scar from the incident years ago when you witnessed the murder of Misha Kent (see more on plot Murder of Misha Kent). Instinctively Gene tried to attack Leone but old friend Gale Chapman pulled the two of them apart.",,
